Breed,Energy,Grooming,Group,Shedding,Trainability
Affenpinscher,Regular Exercise,2-3 Times a Week Brushing,Toy Group,Seasonal,Easy Training
Afghan Hound,Energetic,Daily Brushing,Hound Group,Infrequent,May be Stubborn
Airedale Terrier,Needs Lots of Activity,Occasional Bath/Brush,Terrier Group,Occasional,Eager to Please
Akita,Calm,Weekly Brushing,Working Group,2-3 Times a Week Brushing,Independent
Alaskan Malamute,Occasional Bath/Brush,Specialty/Professional,Non-Sporting Group,Regularly,Agreeable
American English Coonhound,Weekly Brushing,Needs Lots of Activity,Sporting Group,Frequent,Infrequent
American Eskimo Dog,,,Foundation Stock Service,Reserved with Strangers,Seasonal
American Foxhound,,,Herding Group,Needs Lots of Activity,Occasional
American Staffordshire Terrier,,,Miscellaneous Class,Daily Brushing,
American Water Spaniel,,,,Weekly Brushing,
Anatolian Shepherd Dog,,,,Occasional Bath/Brush,
Appenzeller Sennenhunde,,,,Calm,
Australian Cattle Dog,,,,Specialty/Professional,
Australian Kelpie,,,,Regular Exercise,
Australian Shepherd,,,,,
Australian Terrier,,,,,
Azawakh,,,,,
Barbet,,,,,
Basenji,,,,,
Beagle,,,,,
Bearded Collie,,,,,
Bedlington Terrier,,,,,
Belgian Malinois,,,,,
Belgian Sheepdog,,,,,
Belgian Tervuren,,,,,
Berger Picard,,,,,
Bernese Mountain Dog,,,,,
Bichon Frise,,,,,
Black And Tan Coonhound,,,,,
Black Russian Terrier,,,,,
Bloodhound,,,,,
Bluetick Coonhound,,,,,
Boerboel,,,,,
Bolognese,,,,,
Border Collie,,,,,
Border Terrier,,,,,
Borzoi,,,,,
Boston Terrier,,,,,
Bouvier Des Flandres,,,,,
Boxer,,,,,
Boykin Spaniel,,,,,
Bracco Italiano,,,,,
Briard,,,,,
Brittany,,,,,
Brussels Griffon,,,,,
Bull Terrier,,,,,
Bulldog,,,,,
Bullmastiff,,,,,
Cairn Terrier,,,,,
Canaan Dog,,,,,
Cane Corso,,,,,
Cardigan Welsh Corgi,,,,,
Catahoula Leopard Dog,,,,,
Caucasian Shepherd Dog,,,,,
Cavalier King Charles Spaniel,,,,,
Cesky Terrier,,,,,
Chesapeake Bay Retriever,,,,,
Chihuahua,,,,,
Chinese Crested,,,,,
Chinese Shar Pei,,,,,
Chinook,,,,,
Chow Chow,,,,,
Clumber Spaniel,,,,,
Cocker Spaniel,,,,,
Collie,,,,,
Coton De Tulear,,,,,
Curly Coated Retriever,,,,,
Dachshund,,,,,
Dalmatian,,,,,
Dandie Dinmont Terrier,,,,,
Doberman Pinscher,,,,,
Dogo Argentino,,,,,
Dogue De Bordeaux,,,,,
Dutch Shepherd,,,,,
English Cocker Spaniel,,,,,
English Foxhound,,,,,
English Setter,,,,,
English Springer Spaniel,,,,,
English Toy Spaniel,,,,,
Entlebucher Mountain Dog,,,,,
Field Spaniel,,,,,
Finnish Lapphund,,,,,
Finnish Spitz,,,,,
Flat Coated Retriever,,,,,
French Bulldog,,,,,
German Pinscher,,,,,
German Shepherd Dog,,,,,
German Shorthaired Pointer,,,,,
German Wirehaired Pointer,,,,,
Giant Schnauzer,,,,,
Glen Of Imaal Terrier,,,,,
Golden Retriever,,,,,
Gordon Setter,,,,,
Great Dane,,,,,
Great Pyrenees,,,,,
Greater Swiss Mountain Dog,,,,,
Greyhound,,,,,
Harrier,,,,,
Havanese,,,,,
Ibizan Hound,,,,,
Icelandic Sheepdog,,,,,
Irish Red And White Setter,,,,,
Irish Setter,,,,,
Irish Terrier,,,,,
Irish Water Spaniel,,,,,
Irish Wolfhound,,,,,
Italian Greyhound,,,,,
Japanese Chin,,,,,
Karelian Bear Dog,,,,,
Keeshond,,,,,
Kerry Blue Terrier,,,,,
Komondor,,,,,
Kooikerhondje,,,,,
Kuvasz,,,,,
Labrador Retriever,,,,,
Lakeland Terrier,,,,,
Lancashire Heeler,,,,,
Leonberger,,,,,
Lhasa Apso,,,,,
Lowchen,,,,,
Maltese,,,,,
Manchester Terrier,,,,,
Mastiff,,,,,
Miniature Pinscher,,,,,
Miniature Schnauzer,,,,,
Mudi,,,,,
Neapolitan Mastiff,,,,,
Newfoundland,,,,,
Norfolk Terrier,,,,,
Norwegian Buhund,,,,,
Norwegian Elkhound,,,,,
Norwegian Lundehund,,,,,
Norwich Terrier,,,,,
Nova Scotia Duck Tolling Retriever,,,,,
Old English Sheepdog,,,,,
Otterhound,,,,,
Papillon,,,,,
Pekingese,,,,,
Pembroke Welsh Corgi,,,,,
Petit Basset Griffon Vendeen,,,,,
Pharaoh Hound,,,,,
Plott,,,,,
Pointer,,,,,
Polish Lowland Sheepdog,,,,,
Pomeranian,,,,,
Poodle,,,,,
Portuguese Water Dog,,,,,
Pug,,,,,
Puli,,,,,
Pyrenean Shepherd,,,,,
Rat Terrier,,,,,
Redbone Coonhound,,,,,
Rhodesian Ridgeback,,,,,
Rottweiler,,,,,
Saluki,,,,,
Samoyed,,,,,
Schipperke,,,,,
Scottish Deerhound,,,,,
Scottish Terrier,,,,,
Sealyham Terrier,,,,,
Shetland Sheepdog,,,,,
Shiba Inu,,,,,
Shih Tzu,,,,,
Siberian Husky,,,,,
Silky Terrier,,,,,
Skye Terrier,,,,,
Small Munsterlander Pointer,,,,,
Soft Coated Wheaten Terrier,,,,,
Stabyhoun,,,,,
Staffordshire Bull Terrier,,,,,
Standard Schnauzer,,,,,
Sussex Spaniel,,,,,
Swedish Vallhund,,,,,
Tibetan Mastiff,,,,,
Tibetan Spaniel,,,,,
Tibetan Terrier,,,,,
Toy Fox Terrier,,,,,
Treeing Tennessee Brindle,,,,,
Treeing Walker Coonhound,,,,,
Vizsla,,,,,
Weimaraner,,,,,
Welsh Springer Spaniel,,,,,
Welsh Terrier,,,,,
Whippet,,,,,
Wirehaired Pointing Griffon,,,,,
Xoloitzcuintli,,,,,
Yorkshire Terrier,,,,,
